Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
6100	-24.62353	-21.9761	-2.64743	4.362469	0.0767196	0.0767196	0.2964973	0.3986925	0.1760912	0.128719	0.296497	0	0.398693	0.176091	0	0.128719	0.296497	0.398693	0.176091	0.128719
6200	-21.77487	-21.68386	-0.09100781	1.637733	0.245034	0.245034	0.1266367	0.3488119	0.2913049	0.2332465	0.126637	0	0.348812	0.291305	0	0.233247	0.126637	0.348812	0.291305	0.233247
6300	-16.8603	-15.95575	-0.904548	2.56368	0.132627	0.132627	0.1857117	0.6714185	0.08564178	0.05722797	0.185712	0	0.671419	0.0856418	0	0.057228	0.185712	0.671419	0.0856418	0.057228
6400	-15.92679	-15.60988	-0.3169146	1.295086	0.813588	0.813588	0.04452072	0.4776937	0.3428158	0.1349698	0.0445207	0	0.477694	0.342816	0	0.13497	0.0445207	0.477694	0.342816	0.13497
6500	-17.3713	-16.02767	-1.343634	2.20208	0.933314	0.933314	0.06261411	0.6023321	0.2687079	0.06634594	0.0626141	0	0.602332	0.268708	0	0.0663459	0.0626141	0.602332	0.268708	0.0663459
6600	-19.90328	-19.19102	-0.71226	1.801411	0.702608	0.702608	0.04358243	0.5107126	0.3949598	0.05074515	0.0435824	0	0.510713	0.39496	0	0.0507452	0.0435824	0.510713	0.39496	0.0507452
6700	-17.37232	-16.95968	-0.4126454	1.123367	1.08104	1.08104	0.01848129	0.7260986	0.07839457	0.1770255	0.0184813	0	0.726099	0.0783946	0	0.177026	0.0184813	0.726099	0.0783946	0.177026
6800	-16.03834	-16.96064	0.9223017	0.7522921	0.117166	0.117166	0.08463832	0.3516462	0.3719349	0.1917806	0.0846383	0	0.351646	0.371935	0	0.191781	0.0846383	0.351646	0.371935	0.191781
6900	-15.58507	-14.97479	-0.6102817	2.187438	0.214603	0.214603	0.04941185	0.5421292	0.2757219	0.132737	0.0494119	0	0.542129	0.275722	0	0.132737	0.0494119	0.542129	0.275722	0.132737
7000	-16.51259	-15.24537	-1.267214	2.350177	0.708796	0.708796	0.04662233	0.1184325	0.7464565	0.08848874	0.0466223	0	0.118432	0.746456	0	0.0884887	0.0466223	0.118432	0.746456	0.0884887
7100	-16.49956	-15.24282	-1.256744	2.945544	0.102959	0.102959	0.08575662	0.2722651	0.6120693	0.02990903	0.0857566	0	0.272265	0.612069	0	0.029909	0.0857566	0.272265	0.612069	0.029909
7200	-17.86667	-18.40961	0.5429384	1.012509	0.236312	0.236312	0.2273059	0.389625	0.09323207	0.289837	0.227306	0	0.389625	0.0932321	0	0.289837	0.227306	0.389625	0.0932321	0.289837
7300	-16.80571	-17.79868	0.9929692	0.741411	0.0573793	0.0573793	0.0348017	0.5245688	0.2051267	0.2355028	0.0348017	0	0.524569	0.205127	0	0.235503	0.0348017	0.524569	0.205127	0.235503
7400	-14.28124	-14.56962	0.2883847	1.41743	0.0859447	0.0859447	0.1478926	0.1909599	0.5627308	0.09841667	0.147893	0	0.19096	0.562731	0	0.0984167	0.147893	0.19096	0.562731	0.0984167
7500	-21.63403	-22.01689	0.3828539	1.057648	0.351257	0.351257	0.3008842	0.1921395	0.4307193	0.07625699	0.300884	0	0.192139	0.430719	0	0.076257	0.300884	0.192139	0.430719	0.076257
7600	-15.30711	-14.9945	-0.3126085	1.191015	0.913353	0.913353	0.09231587	0.2498984	0.5964713	0.06131449	0.0923159	0	0.249898	0.596471	0	0.0613145	0.0923159	0.249898	0.596471	0.0613145
7700	-15.97836	-15.11541	-0.8629503	1.909524	0.745186	0.745186	0.05832065	0.3796006	0.4023088	0.15977	0.0583206	0	0.379601	0.402309	0	0.15977	0.0583206	0.379601	0.402309	0.15977
7800	-21.50067	-20.0834	-1.417268	2.44957	0.759458	0.759458	0.05357264	0.2844815	0.4441743	0.2177717	0.0535726	0	0.284481	0.444174	0	0.217772	0.0535726	0.284481	0.444174	0.217772
7900	-17.04599	-16.45561	-0.5903724	1.791672	0.59046	0.59046	0.007298496	0.8019801	0.1438836	0.04683777	0.0072985	0	0.80198	0.143884	0	0.0468378	0.0072985	0.80198	0.143884	0.0468378
8000	-15.35544	-14.99916	-0.3562834	1.972637	0.175406	0.175406	0.132931	0.5263539	0.2844322	0.05628287	0.132931	0	0.526354	0.284432	0	0.0562829	0.132931	0.526354	0.284432	0.0562829
8100	-15.84661	-15.54678	-0.2998316	1.293993	0.797599	0.797599	0.02201518	0.6256019	0.1965826	0.1558004	0.0220152	0	0.625602	0.196583	0	0.1558	0.0220152	0.625602	0.196583	0.1558
8200	-25.6887	-23.27035	-2.418353	3.400194	0.809919	0.809919	0.1474995	0.6446022	0.1900921	0.01780629	0.147499	0	0.644602	0.190092	0	0.0178063	0.147499	0.644602	0.190092	0.0178063
8300	-18.47752	-19.21061	0.7330941	1.011092	0.0475731	0.0475731	0.07372111	0.3713772	0.5097378	0.04516395	0.0737211	0	0.371377	0.509738	0	0.045164	0.0737211	0.371377	0.509738	0.045164
8400	-18.96302	-19.54413	0.5811051	1.057161	0.153493	0.153493	0.2279626	0.5728057	0.1882576	0.01097407	0.227963	0	0.572806	0.188258	0	0.0109741	0.227963	0.572806	0.188258	0.0109741
8500	-18.1806	-17.1877	-0.9929057	1.100374	1.68429	1.68429	0.1112379	0.6300455	0.1023321	0.1563845	0.111238	0	0.630045	0.102332	0	0.156385	0.111238	0.630045	0.102332	0.156385
8600	-15.12318	-14.55661	-0.5665716	2.264722	0.0936086	0.0936086	0.1293603	0.2465047	0.5389126	0.08522244	0.12936	0	0.246505	0.538913	0	0.0852224	0.12936	0.246505	0.538913	0.0852224
8700	-19.13588	-17.68894	-1.446944	2.824589	0.414115	0.414115	0.05549093	0.6980546	0.1725277	0.07392682	0.0554909	0	0.698055	0.172528	0	0.0739268	0.0554909	0.698055	0.172528	0.0739268
8800	-14.50936	-13.72669	-0.7826721	2.143803	0.430629	0.430629	0.0602311	0.4186054	0.4121389	0.1090246	0.0602311	0	0.418605	0.412139	0	0.109025	0.0602311	0.418605	0.412139	0.109025
8900	-18.1888	-17.38912	-0.799689	2.202089	0.389359	0.389359	0.008054657	0.3164161	0.5387195	0.1368097	0.00805466	0	0.316416	0.538719	0	0.13681	0.00805466	0.316416	0.538719	0.13681
9000	-22.37087	-20.27327	-2.097597	3.525064	0.364292	0.364292	0.2292946	0.5888894	0.1210735	0.06074254	0.229295	0	0.588889	0.121073	0	0.0607425	0.229295	0.588889	0.121073	0.0607425
9100	-20.277	-18.27929	-1.997706	3.053726	0.735739	0.735739	0.1297744	0.5056229	0.2451538	0.1194489	0.129774	0	0.505623	0.245154	0	0.119449	0.129774	0.505623	0.245154	0.119449
9200	-16.55327	-16.15278	-0.4004898	1.882689	0.30956	0.30956	0.07261789	0.3763505	0.3676826	0.183349	0.0726179	0	0.376351	0.367683	0	0.183349	0.0726179	0.376351	0.367683	0.183349
9300	-16.59409	-15.05177	-1.54232	2.696637	0.637443	0.637443	0.07127622	0.5924934	0.2417369	0.09449352	0.0712762	0	0.592493	0.241737	0	0.0944935	0.0712762	0.592493	0.241737	0.0944935
9400	-18.23538	-16.31381	-1.921566	3.100948	0.612377	0.612377	0.0951608	0.7675501	0.071931	0.06535809	0.0951608	0	0.76755	0.071931	0	0.0653581	0.0951608	0.76755	0.071931	0.0653581
9500	-26.56396	-26.75102	0.1870641	0.3030358	1.30166	1.30166	0.312714	0.1786584	0.3812057	0.1274218	0.312714	0	0.178658	0.381206	0	0.127422	0.312714	0.178658	0.381206	0.127422
9600	-18.74186	-18.4088	-0.3330619	1.856369	0.268452	0.268452	0.06573002	0.5361545	0.2643702	0.1337453	0.06573	0	0.536155	0.26437	0	0.133745	0.06573	0.536155	0.26437	0.133745
9700	-19.71321	-18.85919	-0.8540201	2.105225	0.540554	0.540554	0.02182668	0.5013379	0.3867223	0.09011313	0.0218267	0	0.501338	0.386722	0	0.0901131	0.0218267	0.501338	0.386722	0.0901131
